order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
9999,US-2017-123463,12/23/2017,12/23/2017,Same Day,GZ-14470,OFF-AR-10001118,13.48,4,0,15.9312
9998,US-2017-123463,12/23/2017,12/23/2017,Same Day,GZ-14470,OFF-AR-10001118,13.48,4,0,15.9312
9997,US-2017-123463,12/23/2017,12/23/2017,Same Day,GZ-14470,OFF-AR-10001118,13.48,4,0,-5.9312
9996,US-2017-123463,12/23/2017,12/23/2017,Same Day,GZ-14470,OFF-AR-10001118,13.48,4,0,-5.9312
9995,US-2017-123463,12/23/2017,12/23/2017,Same Day,GZ-14470,OFF-AR-10001118,13.48,4,0,5.9312
9994,Ca-New-2017-119914,5/4/2017,5/9/2017,Second Class,CC-12220,OFF-AP-10002684,243.16,2,0,72.948
9993,Ca-New-2017-121258,2/26/2017,3/3/2017,Standard Class,DB-13060,OFF-PA-10004041,29.6,4,0,13.32
9992,Ca-New-2017-121258,2/26/2017,3/3/2017,Standard Class,DB-13060,TEC-PH-10003645,258.576,2,0.2,19.3932
9991,Ca-New-2017-121258,2/26/2017,3/3/2017,Standard Class,DB-13060,FUR-FU-10000747,91.96,2,0,15.6332
9989,Ca-New-2017-163629,11/17/2017,11/21/2017,Standard Class,RA-19885,TEC-PH-10004006,206.1,5,0,55.647
9988,Ca-New-2017-163629,11/17/2017,11/21/2017,Standard Class,RA-19885,TEC-AC-10001539,79.99,1,0,28.7964
9982,Ca-New-2017-163566,8/3/2017,8/6/2017,First Class,TB-21055,OFF-LA-10004484,16.52,5,0.2,5.369
9970,Ca-New-2017-153871,12/11/2017,12/17/2017,Standard Class,RB-19435,OFF-AP-10003622,22.75,7,0,6.5975
9969,Ca-New-2017-153871,12/11/2017,12/17/2017,Standard Class,RB-19435,OFF-BI-10004600,735.98,2,0,331.191
9968,Ca-New-2017-153871,12/11/2017,12/17/2017,Standard Class,RB-19435,OFF-BI-10004209,40.2,5,0,18.09
9961,Ca-New-2017-141446,9/16/2017,9/18/2017,Second Class,CL-12700,TEC-AC-10002305,18,1,0,3.24
9960,Ca-New-2017-137421,10/6/2017,10/11/2017,Standard Class,AJ-10945,OFF-AR-10001761,9.344,2,0.2,1.8688
9952,Ca-New-2017-121559,6/1/2017,6/3/2017,Second Class,HW-14935,OFF-BI-10002072,17.38,2,0,8.69
9951,Ca-New-2017-121559,6/1/2017,6/3/2017,Second Class,HW-14935,TEC-AC-10001714,39.89,1,0,14.7593
9950,Ca-New-2017-121559,6/1/2017,6/3/2017,Second Class,HW-14935,TEC-AC-10004568,83.97,3,0,15.9543
9949,Ca-New-2017-121559,6/1/2017,6/3/2017,Second Class,HW-14935,OFF-AP-10002945,2405.2,8,0,793.716
9948,Ca-New-2017-121559,6/1/2017,6/3/2017,Second Class,HW-14935,FUR-CH-10003746,1925.88,6,0,539.2464
9942,Ca-New-2017-164028,11/24/2017,11/30/2017,Standard Class,JL-15835,TEC-AC-10001772,223.58,15,0,87.1962
9937,Ca-New-2017-132955,6/24/2017,6/28/2017,Standard Class,SC-20575,OFF-BI-10002735,102.93,3,0,48.3771
9923,US-2017-162124,5/6/2017,5/10/2017,Standard Class,JF-15490,TEC-AC-10001990,191.968,4,0.2,28.7952
9918,Ca-New-2017-160927,1/29/2017,1/31/2017,Second Class,TM-21010,FUR-FU-10000010,14.91,3,0,4.6221
9917,Ca-New-2017-160927,1/29/2017,1/31/2017,Second Class,TM-21010,OFF-ST-10001590,13.48,1,0,3.5048
